t,data,preco_real,preco_previsto,retorno_pred,acao,energia,pontuacao,erro
10049,2024-12-10 18:00:00+00:00,95132.03125,95152.47839121148,0.0002149343490600586,0,0.0,43.0,0.01805287040770054
10050,2024-12-10 19:00:00+00:00,95856.5,95910.58249288052,0.0005642026662826538,-1,0.0,43.0,0.010683359578251839
10051,2024-12-10 20:00:00+00:00,96434.7578125,96456.8256659467,0.00022883713245391846,-1,0.00011869094222784042,44.0,0.00277032726444304
10052,2024-12-10 21:00:00+00:00,96858.0,96939.0512111485,0.0008368045091629028,1,0.0,44.0,0.01441853679716587
10053,2024-12-10 22:00:00+00:00,96849.4375,96854.31468990492,5.0358474254608154e-05,0,0.0,44.0,0.0036949266213923693
10054,2024-12-10 23:00:00+00:00,96593.0,96664.44059184194,0.0007396042346954346,-1,0.0,44.0,0.011338384822010994
10055,2024-12-11 00:00:00+00:00,96412.609375,96395.65247898619,-0.0001758784055709839,-1,0.0,44.0,0.014765594154596329
10056,2024-12-11 01:00:00+00:00,95752.0234375,95752.02914476534,5.960464477539063e-08,-1,0.0,44.0,0.021204983815550804
10057,2024-12-11 02:00:00+00:00,97207.2890625,97277.2299566326,0.0007195025682449341,1,0.0033545237302780146,45.0,0.001961369067430496
10058,2024-12-11 03:00:00+00:00,97398.4296875,97465.61411649978,0.0006897896528244019,0,0.011933203188329935,46.0,0.00065533013548702
10059,2024-12-11 04:00:00+00:00,97546.9609375,97705.63696083875,0.0016266629099845886,1,0.01204944940879941,47.0,0.0027709384448826313
10060,2024-12-11 05:00:00+00:00,97495.1875,97660.48757018056,0.0016954690217971802,-1,0.0,47.0,0.008177739568054676
10061,2024-12-11 06:00:00+00:00,97689.5703125,97814.88176123472,0.0012827515602111816,-1,0.0,47.0,0.00837128795683384
10062,2024-12-11 07:00:00+00:00,97334.6015625,97467.33043805044,0.0013636350631713867,-1,0.0,47.0,0.012842418625950813
10063,2024-12-11 08:00:00+00:00,98109.8984375,98050.5125092204,-0.0006053000688552856,0,0.006058762715011835,48.0,0.0012853093212470412
10064,2024-12-11 09:00:00+00:00,97999.9921875,98054.81272814746,0.0005593933165073395,-1,0.0,48.0,0.010519053786993027
10065,2024-12-11 10:00:00+00:00,98214.2890625,98286.28262827854,0.0007330253720283508,0,0.0,48.0,0.013253545388579369
10066,2024-12-11 11:00:00+00:00,98292.609375,98278.83118652715,-0.0001401752233505249,-1,0.0,48.0,0.02404971420764923
10067,2024-12-11 12:00:00+00:00,98236.0,98301.25390282273,0.0006642565131187439,-1,0.0,48.0,0.026820108294487
10068,2024-12-11 13:00:00+00:00,98736.859375,98711.40304868063,-0.00025781989097595215,0,0.0,48.0,0.010584082454442978
10069,2024-12-11 14:00:00+00:00,99515.9765625,99553.88328598259,0.0003809109330177307,-1,0.0,48.0,0.011769792065024376
10070,2024-12-11 15:00:00+00:00,100361.640625,100467.6539823506,0.0010563135147094727,0,0.0,48.0,0.007583278696984053
10071,2024-12-11 16:00:00+00:00,100575.9921875,100649.52660680824,0.0007311329245567322,-1,0.0,48.0,0.009915867820382118
10072,2024-12-11 17:00:00+00:00,99781.8984375,99905.4555279353,0.0012382715940475464,-1,0.0,48.0,0.02042018249630928
10073,2024-12-11 18:00:00+00:00,100388.7109375,100472.65533123864,0.0008361935615539551,-1,0.0,48.0,0.011178521439433098
10074,2024-12-11 19:00:00+00:00,101122.7109375,101216.3237338214,0.0009257346391677856,-1,0.0,48.0,0.0030226365197449923
10075,2024-12-11 20:00:00+00:00,101271.5625,101343.13287250232,0.0007067173719406128,-1,0.003486605760455131,49.0,0.0019283485598862171
10076,2024-12-11 21:00:00+00:00,101520.1171875,101595.34560900356,0.0007410198450088501,-1,0.0,49.0,0.007084900978952646
10077,2024-12-11 22:00:00+00:00,101209.7421875,101354.47034597624,0.0014299824833869934,0,0.0,49.0,0.006076644640415907
10078,2024-12-11 23:00:00+00:00,101125.0,101244.58599090576,0.00118255615234375,-1,0.0031211994856595988,50.0,0.0020197001285851
10079,2024-12-12 00:00:00+00:00,100772.4609375,100925.03972326813,0.0015140920877456665,-1,0.006161844225227833,51.0,0.0020398388151079416
10080,2024-12-12 01:00:00+00:00,100496.296875,100642.9099915236,0.0014588907361030579,-1,0.0,51.0,0.004219572059810162
10081,2024-12-12 02:00:00+00:00,101824.7578125,101912.42554249271,0.0008609667420387268,-1,0.0,51.0,0.009181620553135872
10082,2024-12-12 03:00:00+00:00,101025.8671875,101174.67474212672,0.001472964882850647,-1,0.0023786001175642017,52.0,0.0022053499706089497
10083,2024-12-12 04:00:00+00:00,100675.703125,100814.28345343505,0.0013765022158622742,-1,0.0,52.0,0.006022545509040356
10084,2024-12-12 05:00:00+00:00,100618.859375,100663.51115529309,0.00044377148151397705,0,0.0034395884059369567,53.0,0.001940102898515761
10085,2024-12-12 06:00:00+00:00,100584.3671875,100632.43671721598,0.0004779025912284851,-1,0.0028356298409402386,54.0,0.00295098964124918
10086,2024-12-12 07:00:00+00:00,100499.9921875,100598.29769952834,0.0009781643748283386,-1,0.0076702696144580855,55.0,0.0015913400566205382
10087,2024-12-12 08:00:00+00:00,100980.0,101065.47783449292,0.0008464828133583069,-1,0.01289126390144229,56.0,0.0014947514282539487
10088,2024-12-12 09:00:00+00:00,100814.0703125,100970.26303435987,0.001549314707517624,-1,0.0,56.0,0.00397131172940135
10089,2024-12-12 10:00:00+00:00,100579.4375,100728.56766214315,0.0014827102422714233,-1,0.0,56.0,0.01416134275496006
10090,2024-12-12 11:00:00+00:00,100358.421875,100468.8882942656,0.0011007189750671387,-1,0.0,56.0,0.0173358041793108
10091,2024-12-12 12:00:00+00:00,100828.0,100901.97671703994,0.0007336921989917755,0,0.0,56.0,0.006292817182838917
10092,2024-12-12 13:00:00+00:00,100911.9921875,100965.0188710168,0.0005254745483398438,1,0.0,56.0,0.003992788959294558
10093,2024-12-12 14:00:00+00:00,101702.0390625,101870.78001361212,0.0016591697931289673,1,0.0,56.0,0.0113031305372715
10094,2024-12-12 15:00:00+00:00,101797.140625,102014.03773482319,0.0021306797862052917,-1,0.0,56.0,0.019749363884329796
10095,2024-12-12 16:00:00+00:00,101462.4921875,101459.89094814943,-2.5637447834014893e-05,-1,0.0,56.0,0.011138075962662697
10096,2024-12-12 17:00:00+00:00,101617.6484375,101704.43525468366,0.0008540526032447815,0,0.0,56.0,0.018280688673257828
10097,2024-12-12 18:00:00+00:00,100857.59375,100927.25970842666,0.0006907358765602112,-1,0.00679692107141018,57.0,0.0011007697321474552
